Company,Website
Activex - Soluções de Informática,https://activex.pt/
VTXRM - Software Factory,http://www.vtxrm.com/
Claranet Portugal,http://www.claranet.pt
Connecting Software,https://www.connecting-software.com/
Premium Cloud,https://www.premiumcloud.pt
Universidade Aberta,http://www.uab.pt/
28stone,http://www.28stone.com
E&T - Engineering and Tooling,http://www.eng-tooling.pt/
Volkswagen Group Digital Solutions [Portugal],https://vwg-digitalsolutions.pt/
Fundação para a Ciência e a Tecnologia (FCT),https://www.fct.pt
ThinkOpen Solutions,http://thinkopen.solutions/
NextBitt,http://nextbitt.com/
SMARKIO,
New Consulting,http://www.new-consulting.pt/
Ionseed,http://www.ionseed.eu/
CELUS,https://www.celus.io 
corastone (antiga iownit),https://www.corastone.us/
Concentrix,https://www.concentrix.com/
bwin Portugal,https://sports.bwin.pt/
Flykt - Moontrip IT,http://www.flykt.com
Festicket,https://www.festicket.com/pt/
ACE development & engineering,https://www.ace.eu/pt-pt
Invillia,https://invillia.com/
Easypay - Payment Institution,http://www.easypay.pt
Logicentro,http://logicentro.pt/
SIVA,https://www.siva.pt/
Alenia Consulting,https://www.alenia.io/
Ongagement,http://ongagement.com
Aurum solutions,https://aurum.solutions
Domo,https://www.domo.com/
Amgen Portugal,https://www.amgen.pt/
The IT Factory,http://www.the-itfactory.com/
Exército Português,https://www.exercito.pt
Atronia,https://atronia.eu/
One Small Step,
Keeyns BV,https://keeyns.com/
Main Software,https://mainsoftware.pt/
TRIGÉNIUS,http://www.trigenius.pt
Optiwisers,https://optiwisers.com/
Mixtronica,https://mixtronica.com/
Impact Wave,https://www.impactwave.com
Insania,https://www.insania.com/
BytePitch,https://www.bytepitch.com/
Jumo.World,https://www.jumo.world/
Nova Junior Consulting,https://www.novajuniorconsulting.com/
NumbersBelieve,http://numbersbelieve.com/
Sigma Software,https://sigma.software/
ARATECH,https://www.ara-tech.es/
Hyland,https://www.hyland.com/
OSQuay,http://www.osquay.com/
BBox Sports,https://www.bboxsports.com/
QA LUG,https://qalug.com/
Bending Spoons,https://bendingspoons.com
Nox Health,https://www.noxhealth.com
OTO Systems,
Scailution (antiga PETE.Tech e Devista),https://www.scailution.com
Reviewpad,https://reviewpad.com/
REIN,https://rein.pt/
LabOrders,https://home.laborders.com/
Coslab,https://www.coslablaboratorios.com/
ROFF / Inetum,http://www.roffconsulting.com
msg,https://msg-insurance-suite.com/pt-pt/
Nezasa,https://www.nezasa.com
Coalition,https://www.coalitioninc.com/
MCoutinho,http://www.mcoutinho.pt/
Gliff,http://gliff.pt/
Sportradar,https://sportradar.com/
Novanetworks,https://www.novanetworks.tech/
GetSocial,
Coreflux,https://www.coreflux.org
Gonvarri Steel Services,https://www.gonvarri.com/en/
Associação Portuguesa de Seguradores,https://www.apseguradores.pt/pt/
Capgemini Portugal,https://www.capgemini.com/pt-en/
Volkswagen Financial Services,https://www.vwfs.pt/
NEOBRAIN,https://neobrain.io/
SLIB,https://www.slib.com/
Antecâmara Studio,https://www.antecamarastudio.com
Johnson Controls,https://www.johnsoncontrols.com/
Viatecla,http://www.viatecla.com
Wipro,https://www.wipro.com
EGOR,http://www.egor.pt
Wiki Alphabet,https://www.wikialphabet.com/
Bauer Media Group,https://www.bauermedia.com/
Kota,https://www.kota.io/
Lidl,http://empregos.lidl.pt
Brainr Software,https://brainr.co/
CWJ Power Electronics,http://www.cwj.pt/
Magicode,https://magicode.pt/
CCS Group International,https://www.ccs.bm/
Emailbidding,http://www.emailbidding.com
WEDUC,http://www.weduc.com
Conectys,https://www.conectys.com/
Altri,http://www.altri.pt
Porto Editora,http://www.portoeditora.pt
Loy & Hutz Solutions,https://www.loyhutz.de/
Algardata,http://www.algardata.com
GeoStar,http://www.geostar.pt
Yucca Studios,
STARK Group,https://starkgroup.dk/
Zühlke,https://www.zuehlke.com
Areal,http://www.arealmedia.com
LVMH,https://www.lvmh.com/
Mindshare World,http://www.mindshareworld.com/portugal
Genesis Digital Solutions,https://genesisdigitalsolutions.pt
EF Tecnologias,http://www.ef.pt
GoodBarber,http://www.goodbarber.com/
BlueBird,http://www.bluebird.pt
tecRacer Group,https://www.tecracer.com/
Prezi,http://prezi.com/
Smartgeo Solutions,https://www.smartgeo.pt/
Uforce Portugal,https://www.uforce.com/
Lynxmind,http://www.lynxmind.com
Waterstone IT Consulting,http://www.waterstone.pt
Fiverr,http://fiverr.com
Primariu,https://www.primariu.com
Cofina Media SGPS,http://www.cofina.pt
Ruption,https://ruption.pt/
Get The Job,http://www.getthejob.pt
Wayfair,http://aboutwayfair.com/careers
Geekcase,https://geekcase.pt/
Future Compta,
SAPiENT CSI,http://www.sapient.pt
VisionWare,http://www.visionware.pt
Wizdee,
Kinetikos,http://www.kinetikos.io
Fordesi,https://www.fordesi.pt/
Instituto Politécnico de Tomar,http://portal2.ipt.pt/
OpenText,https://www.opentext.com/
Alfa - Alexandre Law Firm & Associates,https://alexandrelaw.com/
Together - Estamos Juntos,http://estamosjuntos.pt/
Eyeso,
TenStep Portugal,
CloudBirds,https://cloudbirds.com.pt/
Jimdo,https://www.jimdo.com/
Watermelon Tecnologia,https://www.watermelontecnologia.com/
SEGIN,http://www.segin.pt
24web,https://www.24web.pt
Páginas Amarelas,http://www.pai.pt/
Coloplast,http://www.coloplast.com/
Rootkey,https://rootkey.ai
Mercedes-Benz.io,https://www.mercedes-benz.io
Monday,http://www.monday.pt
Siemens Portugal,www.siemens.pt
Proef group,http://www.proef.com/pt/
Axiros Portugal,http://www.axiros.com
GLEXYZ Group,
Reading Room,https://www.readingroom.com/
GeoXXI,https://www.geoxxi.pt/
Global Headhunters,http://www.globalheadhunters.eu
Codeangel,http://www.codeangel.eu/
Banco BPI,https://www.bancobpi.pt/
Totemic,http://www.totemic.co.uk
Mobinteg,http://mobinteg.com/
Efapel,https://www.efapel.pt/
FCB Lisbon,http://www.fcb.com
Glove IT,http://www.glove-it.pt
Evollu,https://www.evollu.com/
Vroomly,https://www.vroomly.com/
Dauch Corporation (antiga GKN Automotive),https://www.gknautomotive.com/
MGEN Portugal,https://www.mgen.pt
Archetype,https://archetype-is.com
PeekMed,https://www.peekmed.com
Globalsoft,http://globalsoft.pt/
Typeform,http://typeform.com/
Randstad Portugal,https://www.randstad.pt/
ANA Aeroportos de Portugal,https://www.ana.pt/
Webhouse,http://webhouse.pt
Tech Remote Hub,https://trh.pt/
eBiz,https://www.ebiz.pt
Metlife,https://www.metlife.pt/
Lusodados,https://www.lusodados.pt/pt/
ADP,https://www.adp.pt/pt/
Sysmatch,https://www.sysmatch.com/
UTAD - Universidade de Trás-os-Montes e Alto Douro,https://www.utad.pt/
Fabric Health,https://www.fabrichealth.com/
Clearops,https://www.clearops.com/
Humode,https://www.humode.com/
NBrand,http://www.nbrand.pt
Bitrefill,http://bitrefill.com/
KEENFINITY,https://www.keenfinity-group.com
Teamlyzer,https://pt.teamlyzer.com/
Ivy Partners SA,https://www.ivy.partners/
Johnson & Johnson,https://www.jnj.com/
Staffer,https://www.staffer.ai
Zug Power,https://zugpower.pt/
MC Digital (antiga BIT),https://mc.sonae.pt/
Bloq.it,https://bloq.it/
Solutions 30,http://www.solutions30.com
TryHackMe,https://tryhackme.com/
Stream,https://getstream.io/
Neotalent Conclusion,https://www.neotalent.pt
D-EVO Consulting,http://www.d-evo.com
MYGON,http://www.mygon.com
BAR Ogilvy,https://barogilvy.pt/
PwC Portugal,http://www.pwc.pt/
Valantic Business Technology Portugal,https://abaco.consulting
Jolera,https://www.jolera.com/
NEWSPRING Services,http://www.newspring.pt/
Via Verde,https://www.viaverde.pt/particulares
RCSoft,http://www.rcsoft.pt
Adminsaúde,http://www.adminsaude.com/
Springer Nature Portugal,www.springernature.com/gp/group/careers/technology
Snyk,https://snyk.io/
Unlock,http://www.unlockbrands.com
LoanDolphin,
GADSA,https://gadsa.pt/
Crossjoin Solutions,http://www.crossjoin.com/
Aubay,http://aubay.pt/
Fairtiq,https://fairtiq.com
WhiteHat,https://www.whitehat.pt/
Booking,https://www.booking.com
M365Connect,https://m365connect.com/
Innux,http://www.innux.com
HiValue,http://www.highvalue.pt
Eleven Sports (DAZN),http://elevensports.com
LG Eletronics Portugal,https://www.lg.com/pt
Codeware,http://www.codeware.pt
Galileu,http://www.galileu.pt
Sigma Code,http://www.sigmacode.pt
InforTucano,http://www.infortucano.pt
Aboutnav,http://www.aboutnav.pt/
Finastra,https://www.finastra.com
CARFI,http://www.carfi.pt/
Medtronic,http://www.medtronic.pt
Walk,http://walk.pt/
Inovaworks Command and Control,https://www.inovaworks.com
Exportech,http://www.exportech.com.pt/
CeNTI - Centro de Nanotecnologia,https://www.centi.pt/
Whow,https://www.whow.pt
ADSO,http://adso.pt/
Boyden,http://www.boyden.pt/
GyRad,http://www.gyrad.pt/
Eviden Portugal (Antiga Atos),https://eviden.com/
Frotcom,http://www.frotcom.com
BySix,https://www.bysix.com/
VAN,https://van.pt/
Reage,http://www.reage.pt
Market Engine,https://www.marketengine.pt/pt/
Rede Expressos,http://www.rede-expressos.pt/
Retmarker,http://www.retmarker.com
Unity,https://unity.com/
ABAI,http://www.abaigroup.com
EQS Global Group,http://www.eqs-global.com
Youverse,https://www.youverse.id
Pragmasoft,http://pragmasoft.pt
Cuckuu,http://cuckuu.com
The Agency 360,http://www.theagency360.pt/
The Taken Seat,https://www.thetakenseat.com/
Open Cosmos,https://www.open-cosmos.com/
Xiaomi,http://www.mi.com
TeamEffort,http://www.teameffort.pt/
Marex,https://www.marex.com
Agito Global,https://www.agito.com.au/
VideoSmart,https://www.videosmart.com/
iQube IT Consulting,https://www.iqube.pt/
Eurofirms,https://www.eurofirms.pt/
Infinity Games,https://www.infinitygames.io/
Global Soft,http://globalsoft.pt
Knowmad Mood,https://www.knowmadmood.pt/
PI - Portugal Informático,http://www.pi-co.com
Last Minute,https://careers.lastminute.com/
Pentasia,http://www.pentasia.com
Practio,https://practio.dk/
Liga Portugal,https://www.ligaportugal.pt
Stadler Digital Labs,https://www.stadlerdigitallabs.com/
ComOn,http://www.comon.pt
Confidentia,http://www.confidentia.pt
Colmena,https://colmenahr.com/
Outsmartis,https://outsmartis.com
The Agency,https://www.theagency.pt
Diga,https://diga.pt
Softvoice,http://www.softvoice.pt
Keepdoing,https://www.keepdoing.net/
Revolut,https://www.revolut.com/
Super Bock Group,https://www.superbockgroup.com/
Paylink Solutions,https://www.paylinksolutions.co.uk
Lisgráfica,http://www.lisgrafica.pt/
Margres - Ceramic Tiles,https://margres.com/
Expedia Group,https://expediagroup.com/
Cipher,https://www.cipher.com/pt/
Protokol,https://www.protokol.pt/
SBM Offshore,http://www.sbmoffshore.com
GRIFIN,http://www.grifin.pt
Isretail,http://www.isretail.eu
Otonomee,https://www.otonomee.com/
